Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Eastern Suburbs,Waverley,Other offences against the person,,267
Eastern Suburbs,Waverley,Theft,Break and enter dwelling,12963
Eastern Suburbs,Waverley,Theft,Break and enter non-dwelling,4127
Eastern Suburbs,Waverley,Theft,Receiving or handling stolen goods,2456
Eastern Suburbs,Waverley,Theft,Motor vehicle theft,9171
Eastern Suburbs,Waverley,Theft,Steal from motor vehicle,14008
Eastern Suburbs,Waverley,Theft,Steal from retail store,9919
Eastern Suburbs,Waverley,Theft,Steal from dwelling,6303
Eastern Suburbs,Waverley,Theft,Steal from person,5713
Eastern Suburbs,Waverley,Theft,Stock theft,8
Eastern Suburbs,Waverley,Theft,Fraud,13007
Eastern Suburbs,Waverley,Theft,Other theft,19697
Eastern Suburbs,Waverley,Arson,,375
Eastern Suburbs,Waverley,Malicious damage to property,,17338
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of cocaine,328
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of narcotics,150
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of cannabis,4507
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of amphetamines,334
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of ecstasy,258
Eastern Suburbs,Waverley,Drug offences,Possession and/or use of other drugs,341
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in cocaine",149
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in narcotics",45
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in cannabis",172
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in amphetamines",82
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in ecstasy",108
Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in other drugs",17
Eastern Suburbs,Waverley,Drug offences,Cultivating cannabis,82
Eastern Suburbs,Waverley,Drug offences,Manufacture drug,1
Eastern Suburbs,Waverley,Drug offences,Importing drugs,10
Eastern Suburbs,Waverley,Drug offences,Other drug offences,541
Eastern Suburbs,Waverley,Prohibited and regulated weapons offences,,1302
Eastern Suburbs,Waverley,Disorderly conduct,Trespass,1232
Eastern Suburbs,Waverley,Disorderly conduct,Offensive conduct,1335
Eastern Suburbs,Waverley,Disorderly conduct,Offensive language,906
Eastern Suburbs,Waverley,Disorderly conduct,Criminal intent,336
Eastern Suburbs,Waverley,Betting and gaming offences,,17
Eastern Suburbs,Waverley,Liquor offences,,4481
Eastern Suburbs,Waverley,Pornography offences,,46
Eastern Suburbs,Waverley,Prostitution offences,,17
Eastern Suburbs,Waverley,Against justice procedures,Escape custody,34
Eastern Suburbs,Waverley,Against justice procedures,Breach Apprehended Violence Order,1284
Eastern Suburbs,Waverley,Against justice procedures,Breach bail conditions,2638
Eastern Suburbs,Waverley,Against justice procedures,Fail to appear,215
Eastern Suburbs,Waverley,Against justice procedures,Resist or hinder officer,1361
Eastern Suburbs,Waverley,Against justice procedures,Other offences against justice procedures,185
Eastern Suburbs,Waverley,Transport regulatory offences,,2114
Eastern Suburbs,Waverley,Other offences,,2525
Eastern Suburbs,Woollahra,Homicide,Murder (a),9
Eastern Suburbs,Woollahra,Homicide,Attempted murder,9
Eastern Suburbs,Woollahra,Homicide,"Murder accessory, conspiracy",0
Eastern Suburbs,Woollahra,Homicide,Manslaughter (a),1
Eastern Suburbs,Woollahra,Assault,Domestic violence related assault,1599
Eastern Suburbs,Woollahra,Assault,Non-domestic violence related assault,4410
Eastern Suburbs,Woollahra,Assault,Assault Police,199
Eastern Suburbs,Woollahra,Sexual offences,Sexual assault,356
Eastern Suburbs,Woollahra,Sexual offences,"Indecent assault, act of indecency and other sexual offences",671
Eastern Suburbs,Woollahra,Abduction and kidnapping,,43
Eastern Suburbs,Woollahra,Robbery,Robbery without a weapon,832
Eastern Suburbs,Woollahra,Robbery,Robbery with a firearm,120
Eastern Suburbs,Woollahra,Robbery,Robbery with a weapon not a firearm,546
Eastern Suburbs,Woollahra,Blackmail and extortion,,21
Eastern Suburbs,Woollahra,"Harassment, threatening behaviour and private nuisance",,2169
Eastern Suburbs,Woollahra,Other offences against the person,,143
Eastern Suburbs,Woollahra,Theft,Break and enter dwelling,13341
Eastern Suburbs,Woollahra,Theft,Break and enter non-dwelling,3904
Eastern Suburbs,Woollahra,Theft,Receiving or handling stolen goods,1051
Eastern Suburbs,Woollahra,Theft,Motor vehicle theft,7794
Eastern Suburbs,Woollahra,Theft,Steal from motor vehicle,17606
Eastern Suburbs,Woollahra,Theft,Steal from retail store,2576
Eastern Suburbs,Woollahra,Theft,Steal from dwelling,5865
Eastern Suburbs,Woollahra,Theft,Steal from person,3365
Eastern Suburbs,Woollahra,Theft,Stock theft,11
Eastern Suburbs,Woollahra,Theft,Fraud,6362
Eastern Suburbs,Woollahra,Theft,Other theft,10532
Eastern Suburbs,Woollahra,Arson,,309
Eastern Suburbs,Woollahra,Malicious damage to property,,12741
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of cocaine,410
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of narcotics,82
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of cannabis,1387
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of amphetamines,295
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of ecstasy,213
Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of other drugs,200
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in cocaine",140
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in narcotics",35
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in cannabis",43
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in amphetamines",61
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in ecstasy",53
Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in other drugs",42
Eastern Suburbs,Woollahra,Drug offences,Cultivating cannabis,12
Eastern Suburbs,Woollahra,Drug offences,Manufacture drug,3
Eastern Suburbs,Woollahra,Drug offences,Importing drugs,7
Eastern Suburbs,Woollahra,Drug offences,Other drug offences,370
Eastern Suburbs,Woollahra,Prohibited and regulated weapons offences,,719
Eastern Suburbs,Woollahra,Disorderly conduct,Trespass,920
Eastern Suburbs,Woollahra,Disorderly conduct,Offensive conduct,496
Eastern Suburbs,Woollahra,Disorderly conduct,Offensive language,258
Eastern Suburbs,Woollahra,Disorderly conduct,Criminal intent,394
Eastern Suburbs,Woollahra,Betting and gaming offences,,52
Eastern Suburbs,Woollahra,Liquor offences,,2836
Eastern Suburbs,Woollahra,Pornography offences,,9
Eastern Suburbs,Woollahra,Prostitution offences,,6
Eastern Suburbs,Woollahra,Against justice procedures,Escape custody,9
Eastern Suburbs,Woollahra,Against justice procedures,Breach Apprehended Violence Order,605
Eastern Suburbs,Woollahra,Against justice procedures,Breach bail conditions,815
